,CYBA,NOS2,TNFa,IL-1B,IL-6,IL-10,IFN-g,HIFa,FTH1,FTL,TF-R
CN1,1.088107,0.447512,1.301015,1.311879,1.693142,1.343496,0.323792,0.857982,1.118249,0.999334,1.249507
CN2,0.182335,1.227647,0.984491,0.605761,0.951661,1.049478,0.823906,1.108076,1.170899,0.51838,0.913401
CN3,1.054658,0.779269,0.968506,0.761542,0.818249,0.541058,2.251636,0.905904,0.620121,0.609848,1.222864
CN4,1.432614,1.040297,0.918667,0.977012,0.920169,0.712004,1.68874,0.52738,0.940147,1.089097,0.769235
CN5,1.351996,1.213516,0.562716,1.009381,0.570559,1.129084,0.923447,1.644781,1.446749,1.859824,1.172562
CN6,2.467418,1.850255,1.559397,1.675545,1.444677,1.630564,1.067537,1.338561,0.905476,1.562721,0.794378
CID7,0.106419,0.148887,0.153203,0.084851,0.484918,0.126952,0.153572,0.122552,1.571356,2.246881,1.686052
CID8,0.131265,0.189427,0.075032,0.079617,0.075527,0.087361,0.173169,0.166601,0.842798,4.01865,2.066907
CID9,0.026678,0.043208,0.009993,0.009736,0.017251,0.010036,0.037963,0.017769,0.71974,2.665727,1.907908
CID10,0.358771,0.189427,0.064655,0.095362,0.109603,0.104062,0.884497,0.914195,0.671573,16.85387,1.52411
CID11,0.070163,0.248698,0.049812,0.102857,0.082657,0.121172,0.339987,0.11368,0.831439,4.114869,3.547489
CID12,0.809391,2.526251,0.06848,0.087471,0.393375,0.094211,0.36978,1.344832,0.783719,72.272,2.052747
PN1,0.44977,2.966904,20.54917,4.616757,14.73481,4.814134,5.205446,0.388947,6.861641,8.102373,0.286102
PN2,0.861238,2.966904,1.372725,1.807214,1.409552,1.895939,4.657978,0.797359,2.584609,2.581165,0.519265
PN3,1.746622,4.910149,1.236247,0.929028,0.631023,1.105602,5.205446,1.385661,3.115544,6.996722,0.286102
PN4,0.934772,5.266441,1.058163,2.379384,0.773524,2.052381,15.89612,0.884619,2.468622,5.206439,1.418268
PN5,0.766062,3.577449,1.590266,1.989592,1.170005,1.960786,10.6831,0.536759,2.272559,1.625153,0.357733
PN6,0.82803,2.243531,2.363609,1.056436,0.796645,1.075561,5.065316,0.410711,2.22927,1.400569,0.09997
PID7,0.28138,1.081654,0.0484,0.099645,0.13118,0.142312,1.011869,0.184431,0.838802,4.352651,1.594208
PID8,0.089958,0.585936,0.045431,0.068685,0.131294,0.074112,0.64805,0.188256,0.657127,5.391882,1.136722
PID10,0.088171,0.426754,0.083654,0.148878,0.088764,0.269657,1.493457,0.138901,0.873952,1.276396,2.05054
PID11,0.113455,0.843993,0.090932,0.18482,0.149997,0.216775,1.847549,0.142309,0.579121,2.351173,0.923273
PID12,0.065757,0.266083,0.103905,0.185317,0.076422,0.175048,0.831234,0.062356,0.661618,1.965482,1.474858
PID8 O,0.151215,0.310922,0.094678,0.077637,0.185986,0.119251,0.932754,0.073023,0.866534,1.158387,0.887371
